aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
A321 neo,United Kingdom,Solo Leisure,Tenerife to London,Business Class,4.0,5.0,4.0,5.0,0.0,0.0,4.0,yes
A320,Sweden,Solo Leisure,Stockholm to London Heathrow,Economy Class,1.0,5.0,1.0,1.0,0.0,0.0,2.0,no
A320neo,United Kingdom,Couple Leisure,London Heathrow to Tenerife South,Business Class,3.0,3.0,2.0,1.0,0.0,0.0,1.0,no
A320 Neo,United Kingdom,Couple Leisure,Heathrow to Tenerife South,Business Class,2.0,5.0,3.0,3.0,0.0,0.0,3.0,yes
Boeing 777,United Kingdom,Couple Leisure,Manchester to Nassau via London,Economy Class,2.0,2.0,1.0,2.0,1.0,2.0,1.0,no
A321,United Kingdom,Business,Belfast to London,Economy Class,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
A321,United Kingdom,Family Leisure,Larnaca to London Heathrow,Business Class,2.0,4.0,3.0,2.0,3.0,0.0,3.0,yes
A320,United Kingdom,Couple Leisure,Lisbon to London Heathrow,Business Class,4.0,4.0,5.0,4.0,0.0,0.0,4.0,yes
Boeing 787,United Kingdom,Couple Leisure,Madrid to London,Premium Economy,4.0,5.0,3.0,5.0,0.0,4.0,5.0,yes
A320NEO,Italy,Family Leisure,London to Bologna,Economy Class,5.0,5.0,2.0,3.0,0.0,0.0,4.0,yes
A321 Neo,United Kingdom,Business,London to Alicante,Economy Class,1.0,4.0,4.0,4.0,0.0,0.0,5.0,yes
A321,United Kingdom,Family Leisure,London to Larnaca,Business Class,3.0,5.0,4.0,3.0,2.0,2.0,4.0,yes
A320,United Kingdom,Business,Prague to London,Economy Class,4.0,5.0,1.0,0.0,0.0,0.0,1.0,no
A350,United Kingdom,Business,London to Toronto,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
A320,United Kingdom,Family Leisure,London to Prague,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,2.0,no
A321,United Kingdom,Couple Leisure,Larnaca to London Heathrow,Business Class,3.0,4.0,4.0,3.0,3.0,0.0,4.0,yes
A321,United Kingdom,Business,Belfast to London,Economy Class,4.0,3.0,4.0,3.0,0.0,0.0,5.0,yes
A320,United Kingdom,Couple Leisure,Manchester to Aberdeen via Heathrow,Economy Class,1.0,1.0,1.0,1.0,1.0,0.0,1.0,no
A320,United Kingdom,Couple Leisure,London Heathrow to Larnaca,Business Class,3.0,3.0,3.0,3.0,2.0,0.0,3.0,yes
A320,United Kingdom,Family Leisure,London to Lisbon,Business Class,3.0,5.0,3.0,4.0,4.0,0.0,4.0,yes
Embraer,United Kingdom,Solo Leisure,Frankfurt to London,Economy Class,4.0,4.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 787-8,Russian Federation,Solo Leisure,London to Moscow Domodedovo,Economy Class,5.0,4.0,3.0,1.0,1.0,1.0,2.0,yes
A320,United Kingdom,Family Leisure,London to Corfu,Economy Class,4.0,5.0,4.0,4.0,4.0,4.0,4.0,yes
A330,United Kingdom,Couple Leisure,London Heathrow to Nice,Business Class,3.0,4.0,3.0,5.0,0.0,0.0,3.0,no
A230,United Kingdom,Solo Leisure,Belfast to Budapest via Heathrow,Premium Economy,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777-200,United Kingdom,Family Leisure,Cancun to Gatwick,Business Class,4.0,5.0,4.0,5.0,4.0,4.0,4.0,yes
Boeing 777-200,United Kingdom,Family Leisure,Gatwick to Cancun,Business Class,5.0,5.0,4.0,4.0,4.0,4.0,5.0,yes
Boeing 787,United States,Solo Leisure,London to Mexico City,Business Class,1.0,2.0,3.0,3.0,1.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,Preveza to London,Business Class,4.0,3.0,5.0,3.0,0.0,0.0,4.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Preveza,Business Class,4.0,4.0,5.0,4.0,0.0,0.0,4.0,yes
A321NEO,United Kingdom,Solo Leisure,Aberdeen to London Heathrow,Economy Class,4.0,5.0,4.0,4.0,5.0,3.0,4.0,yes
Boeing 737-800,South Africa,Solo Leisure,Johannesburg to Cape Town,Economy Class,4.0,5.0,5.0,4.0,0.0,0.0,4.0,yes
Boeing 787-9,United Kingdom,Business,Mexico City to London Heathrow,First Class,2.0,5.0,3.0,1.0,1.0,2.0,3.0,no
A350,United Kingdom,Solo Leisure,London Heathrow to Dubai,Premium Economy,4.0,1.0,5.0,1.0,4.0,5.0,5.0,no
A321,United Kingdom,Solo Leisure,London to Tenerife,Business Class,3.0,5.0,4.0,3.0,5.0,0.0,4.0,yes
Boeing 747,United Kingdom,Family Leisure,London Heathrow to Lahore,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A320neo,Poland,Solo Leisure,Warsaw to London-Heathrow,Business Class,5.0,5.0,4.0,5.0,5.0,5.0,5.0,yes
A321,United Kingdom,Couple Leisure,London to Santorini,Economy Class,4.0,4.0,1.0,3.0,0.0,0.0,2.0,no
A321,United States,Couple Leisure,London to Paris,Economy Class,2.0,3.0,5.0,2.0,0.0,0.0,1.0,no
A319,Germany,Business,Berlin to London,Economy Class,1.0,1.0,2.0,2.0,0.0,0.0,2.0,no
A320,Thailand,Solo Leisure,Newcastle to London Heathrow,Economy Class,5.0,5.0,5.0,3.0,0.0,0.0,5.0,yes
Embraer 195,United Kingdom,Business,London City to Edinburgh,Economy Class,3.0,4.0,5.0,0.0,0.0,0.0,3.0,yes
A350,United Kingdom,Solo Leisure,London to Tel Aviv,Premium Economy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no
A350,United Kingdom,Couple Leisure,London Heathrow to Toronto ,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,Las Vegas to London Heathrow ,Business Class,5.0,5.0,5.0,5.0,0.0,2.0,5.0,yes
A321neo,Poland,Solo Leisure,London-Heathrow to Warsaw,Economy Class,5.0,5.0,4.0,0.0,0.0,0.0,3.0,yes
Boeing 747,United Kingdom,Solo Leisure,Nashville to London via Chicago,Business Class,3.0,5.0,3.0,4.0,0.0,0.0,1.0,no
Boeing 777,United States,Couple Leisure,Seattle to Heathrow,Economy Class,0.0,0.0,0.0,0.0,0.0,0.0,5.0,no
Boeing 747-400,United Kingdom,Business,Chicago to London Heathrow,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 747-400,United Kingdom,Business,London to New York JFK,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 787,United Kingdom,Solo Leisure,London to Beijing,Economy Class,3.0,5.0,4.0,4.0,0.0,5.0,4.0,yes
A380,Hong Kong,Family Leisure,Hong Kong to London,Economy Class,5.0,5.0,5.0,5.0,0.0,3.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Mumbai to London,Economy Class,4.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,London to Delhi,Economy Class,4.0,5.0,2.0,5.0,0.0,4.0,4.0,yes
A319,United Kingdom,Business,Paris to London,Business Class,1.0,4.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Solo Leisure,Vancouver to London,Premium Economy,4.0,5.0,4.0,5.0,0.0,5.0,5.0,yes
Boeing 787,United Kingdom,Business,London to Seattle,Business Class,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Solo Leisure,London Heathrow to Nairobi,First Class,3.0,5.0,2.0,1.0,0.0,3.0,3.0,no
Boeing 787,United Kingdom,Solo Leisure,Rio de Janeiro to London ,Economy Class,1.0,3.0,1.0,1.0,0.0,1.0,2.0,no
Boeing 747-400,United States,Couple Leisure,Las Vegas to Paris via London,Business Class,1.0,4.0,4.0,3.0,0.0,1.0,1.0,no
A320,United Kingdom,Couple Leisure,Geneva to Gatwick,Economy Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
A321,United Kingdom,Solo Leisure,London Heathrow to Sofia,Business Class,4.0,4.0,5.0,4.0,2.0,0.0,4.0,yes
A321neo,United Kingdom,Business,Madrid to London ,Business Class,2.0,3.0,3.0,2.0,1.0,1.0,2.0,no
A320,Australia,Family Leisure,Prague to London,Economy Class,5.0,5.0,3.0,0.0,3.0,0.0,5.0,yes
A380-800,United Kingdom,Couple Leisure,Johannesburg to London,Business Class,3.0,4.0,3.0,3.0,0.0,3.0,3.0,yes
Boeing 777-200,United Kingdom,Business,Las Vegas to Gatwick,Business Class,2.0,2.0,4.0,2.0,0.0,4.0,1.0,no
Boeing 747-400,Sweden,Business,San Diego to Stockholm via London,Business Class,5.0,5.0,1.0,5.0,1.0,3.0,3.0,no
A320,United Kingdom,Couple Leisure,Cape Town to Johannesburg,Business Class,4.0,4.0,4.0,3.0,0.0,0.0,4.0,yes
Boeing 787-9,United States,Business,Phoenix to London,Business Class,3.0,5.0,3.0,4.0,0.0,4.0,5.0,yes
Boeing 777-200,United Kingdom,Solo Leisure,London Heathrow to Bangkok,Economy Class,2.0,4.0,4.0,4.0,1.0,1.0,2.0,no
Boeing 777-200ER,India,Solo Leisure,Mumbai to Boston via London,Economy Class,2.0,5.0,1.0,5.0,1.0,2.0,3.0,yes
Boeing 787 / A320,Canada,Solo Leisure,Toronto to Geneva via London,Economy Class,4.0,5.0,4.0,4.0,0.0,3.0,3.0,yes
Boeing 777-300,United Kingdom,Solo Leisure,Hong Kong to London,First Class,4.0,5.0,4.0,5.0,0.0,4.0,4.0,yes
Boeing 787,France,Business,San Jose to Amsterdam via London,Economy Class,1.0,1.0,2.0,2.0,0.0,3.0,3.0,no
Boeing 777,Singapore,Couple Leisure,Singapore to Paris via London,Business Class,3.0,4.0,1.0,4.0,0.0,4.0,2.0,no
A321neo,Poland,Solo Leisure,Warsaw to London,Economy Class,5.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
Boeing 747-400,United Kingdom,Family Leisure,New York  to London Heathrow,Economy Class,4.0,5.0,5.0,3.0,0.0,4.0,4.0,yes
Boeing 737-800,United Kingdom,Couple Leisure,Johannesburg to Cape Town,Business Class,3.0,3.0,4.0,3.0,0.0,0.0,4.0,yes
A380,United Kingdom,Couple Leisure,London to Johannesburg,Business Class,4.0,4.0,4.0,4.0,2.0,3.0,4.0,yes
Boeing 777-200 / 747-400,India,Solo Leisure,Boston to Mumbai via London,Economy Class,2.0,5.0,1.0,4.0,0.0,2.0,5.0,yes
A320,United Kingdom,Solo Leisure,London Gatwick to Glasgow,Business Class,4.0,5.0,5.0,4.0,0.0,0.0,4.0,yes
Boeing 787-8,United Kingdom,Solo Leisure,Rio De Janeiro to London Heathrow,Business Class,5.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
A320,United Kingdom,Business,Gatwick to Tirana,Business Class,1.0,3.0,4.0,2.0,5.0,1.0,2.0,yes
A320,United Kingdom,Couple Leisure,Keflavik to London Heathrow,Business Class,3.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
A380,Saint Kitts and Nevis,Couple Leisure,London to Hong Kong,Business Class,3.0,4.0,1.0,3.0,0.0,4.0,3.0,no
Boeing 747,United States,Family Leisure,Los Angeles to London Heathrow,Business Class,1.0,3.0,1.0,2.0,1.0,2.0,1.0,no
A320,United Kingdom,Solo Leisure,Istanbul to London,Economy Class,2.0,2.0,1.0,0.0,0.0,0.0,1.0,no
A320,Vietnam,Solo Leisure,Budapest to Billund via London,Economy Class,3.0,3.0,4.0,2.0,0.0,1.0,3.0,yes
Boeing 777-300ER,Australia,Solo Leisure,Sydney to Toulouse via Singapore / London,Economy Class,5.0,5.0,4.0,5.0,1.0,2.0,5.0,yes
A321neo,United Kingdom,Solo Leisure,Sofia to London,Business Class,3.0,4.0,3.0,4.0,0.0,0.0,4.0,yes
A320,Germany,Solo Leisure,London to Munich,Economy Class,2.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777 - 200,Australia,Business,New York to London,Economy Class,2.0,2.0,5.0,1.0,0.0,1.0,5.0,no
Boeing 747-400,United States,Business,London to San Francisco ,Business Class,3.0,5.0,5.0,4.0,5.0,4.0,4.0,yes
A319,United Kingdom,Couple Leisure,Heathrow to Belfast,Economy Class,2.0,5.0,1.0,5.0,0.0,0.0,3.0,no
A380,Ireland,Solo Leisure,London to Singapore,Business Class,4.0,5.0,5.0,5.0,1.0,1.0,5.0,yes
A319,Sweden,Solo Leisure,London Heathrow to Stockholm,Business Class,3.0,5.0,5.0,5.0,0.0,0.0,4.0,yes
A380,United Kingdom,Family Leisure,Johannesburg to London,Economy Class,1.0,3.0,2.0,3.0,0.0,3.0,1.0,no
A380,United Kingdom,Couple Leisure,Johannesburg to London,Business Class,3.0,3.0,3.0,3.0,0.0,3.0,4.0,yes
Boeing 747-400,Sweden,Solo Leisure,London Heathrow to Miami,First Class,4.0,5.0,5.0,5.0,1.0,5.0,5.0,yes
A319,Sweden,Solo Leisure,Stockholm to London Heathrow,Business Class,3.0,5.0,5.0,5.0,0.0,0.0,4.0,yes
Boeing 777-300,Australia,Couple Leisure,London to Sydney via Singapore,Economy Class,3.0,4.0,3.0,4.0,0.0,2.0,4.0,yes
Boeing 747-400,United States,Couple Leisure,London to New York JFK,Business Class,1.0,4.0,1.0,3.0,0.0,1.0,1.0,no
Boeing 777-200,United Kingdom,Solo Leisure,Gatwick to Bridgetown,Business Class,3.0,2.0,3.0,3.0,0.0,3.0,2.0,no
Boeing 777,Belgium,Business,Brussels to Bangkok via London,Business Class,4.0,2.0,4.0,2.0,0.0,3.0,3.0,no
Boeing 777-200,Norway,Business,San Francisco to Oslo via London,Economy Class,1.0,2.0,1.0,2.0,0.0,0.0,1.0,no
A380,United Kingdom,Couple Leisure,London to Johannesburg ,Business Class,3.0,3.0,3.0,3.0,0.0,3.0,3.0,yes
Boeing 787-9,Malaysia,Family Leisure,doha to londonDoha to London,Economy Class,5.0,5.0,5.0,4.0,0.0,4.0,5.0,yes
A380,United Kingdom,Couple Leisure,San Francisco to London,Economy Class,4.0,2.0,3.0,3.0,0.0,2.0,3.0,no
Boeing 777-300,Australia,Business,Sydney to Singapore,Business Class,1.0,1.0,2.0,1.0,1.0,1.0,1.0,no
Boeing 777,United Kingdom,Family Leisure,London to Mauritius,Economy Class,1.0,4.0,1.0,1.0,1.0,1.0,2.0,no
Boeing 747-400,Ireland,Solo Leisure,London to Vancouver,Economy Class,2.0,2.0,2.0,2.0,0.0,1.0,3.0,no
Boeing 747-400,Australia,Couple Leisure,New York to Paris via London,Economy Class,1.0,1.0,1.0,1.0,2.0,1.0,1.0,no
A320,United Kingdom,Couple Leisure,London Heathrow to Lisbon,Business Class,4.0,1.0,5.0,2.0,0.0,0.0,2.0,no
Boeing 777,United Kingdom,Solo Leisure,London to Boston,Economy Class,4.0,4.0,4.0,4.0,1.0,4.0,3.0,yes
A320,United Kingdom,Business,Tirana to London ,Economy Class,4.0,5.0,5.0,3.0,5.0,5.0,5.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,Gatwick to St Lucia,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A320,United Kingdom,Couple Leisure,Gatwick to Venice,Business Class,4.0,5.0,5.0,4.0,0.0,0.0,4.0,yes
Boeing 787-9,United Kingdom,Couple Leisure,Seychelles to London,Business Class,5.0,5.0,4.0,5.0,0.0,5.0,5.0,yes
A320,United Kingdom,Couple Leisure,London to Belfast,Economy Class,3.0,2.0,1.0,0.0,0.0,0.0,2.0,no
Boeing 787,United States,Couple Leisure,San Jose to London,Business Class,2.0,4.0,3.0,4.0,0.0,1.0,2.0,no
A321neo,United Kingdom,Solo Leisure,London Heathrow to Edinburgh,Economy Class,1.0,3.0,3.0,1.0,0.0,0.0,3.0,yes
Boeing 777-200,United Kingdom,Family Leisure,Gatwick to Barbados,Economy Class,4.0,4.0,5.0,4.0,5.0,5.0,5.0,yes
Boeing 777,Canada,Couple Leisure,Toronto to London,Economy Class,3.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A380,United Kingdom,Couple Leisure,San Francisco to London,Business Class,5.0,5.0,5.0,5.0,0.0,4.0,4.0,yes
A319,United Kingdom,Solo Leisure,London to Belfast,Business Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
Boeing 747-400,Switzerland,Business,Vancouver to London,Business Class,4.0,1.0,3.0,1.0,0.0,4.0,2.0,no
A320,United Kingdom,Solo Leisure,London to Malaga,Economy Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
A320,United Kingdom,Business,Brussels to London,Economy Class,4.0,4.0,1.0,0.0,0.0,0.0,2.0,no
Boeing 777,Australia,Couple Leisure,London to Singapore,Premium Economy,1.0,1.0,3.0,1.0,0.0,0.0,1.0,no
Boeing 787,Argentina,Solo Leisure,Kuala Lumpur to Glasgow via London,Premium Economy,5.0,1.0,2.0,2.0,0.0,3.0,1.0,no
Boeing 787-900,United Kingdom,Couple Leisure,London Heathrow to Seychelles,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A321,Jordan,Couple Leisure,Amman to London,Economy Class,4.0,4.0,4.0,4.0,0.0,4.0,4.0,yes
A320,United Kingdom,Business,London to Athens,Economy Class,3.0,2.0,4.0,0.0,0.0,0.0,2.0,no
Boeing 777,United States,Couple Leisure,New York JFK to London,Economy Class,1.0,2.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777-200,Argentina,Couple Leisure,Buenos Aires to London Heathrow,Premium Economy,1.0,3.0,4.0,1.0,0.0,1.0,1.0,no
"Boeing 787-9, A320-200",Mexico,Solo Leisure,Mexico City to Barcelona via London Heathrow,Economy Class,5.0,4.0,4.0,4.0,0.0,4.0,3.0,yes
A319,United Kingdom,Couple Leisure,Bari to London Gatwick,Economy Class,4.0,5.0,4.0,4.0,0.0,0.0,5.0,yes
Boeing 787,United Kingdom,Couple Leisure,Abu Dhabi to London Heathrow,Premium Economy,1.0,3.0,4.0,1.0,0.0,0.0,1.0,no
Boeing 787-900,United Kingdom,Couple Leisure,London Heathrow to Abu Dhabi,Economy Class,5.0,5.0,5.0,5.0,3.0,4.0,4.0,yes
A350,United Kingdom,Business,Dubai to London Heathrow,Business Class,5.0,5.0,5.0,5.0,4.0,3.0,4.0,yes
A320,United Kingdom,Business,London to Athens,Economy Class,1.0,3.0,1.0,0.0,0.0,0.0,1.0,no
A320,United Kingdom,Solo Leisure,London Heathrow to Newcastle,Economy Class,4.0,4.0,5.0,0.0,0.0,0.0,4.0,yes
Boeing 787-9,Malaysia,Family Leisure,Kuala Lumpur to London,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 747,United Kingdom,Couple Leisure,Austin to London,Business Class,3.0,3.0,3.0,3.0,0.0,0.0,4.0,yes
Boeing 787,United Kingdom,Couple Leisure,London to Kuala Lumpur,Premium Economy,5.0,4.0,4.0,3.0,4.0,4.0,4.0,yes
A320,United Kingdom,Business,Gatwick to Alicante,Business Class,5.0,5.0,2.0,5.0,0.0,5.0,5.0,yes
A380,United Kingdom,Solo Leisure,Vancouver to London,Premium Economy,5.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 747,United Kingdom,Couple Leisure,London Heathrow to Austin,Business Class,4.0,5.0,3.0,4.0,0.0,2.0,5.0,yes
Boeing 747,United Kingdom,Couple Leisure,London Heathrow to Austin,Business Class,4.0,4.0,4.0,4.0,0.0,1.0,4.0,yes
A320,United Kingdom,Couple Leisure,Cephalonia to London ,Business Class,3.0,4.0,3.0,4.0,4.0,0.0,3.0,yes
A380,Italy,Family Leisure,Chicago to Zurich via London,Economy Class,1.0,4.0,1.0,1.0,0.0,1.0,3.0,no
A321,United Kingdom,Solo Leisure,London Heathrow to Berlin Tegel,Economy Class,5.0,5.0,3.0,3.0,0.0,0.0,5.0,yes
EMB190,United Kingdom,Business,London to Geneva,Economy Class,4.0,2.0,4.0,1.0,0.0,0.0,2.0,no
A320,United Kingdom,Couple Leisure,London to Kefalonia ,Business Class,3.0,2.0,3.0,2.0,0.0,0.0,3.0,no
Boeing 777-200,United Kingdom,Business,London Heathrow to Abuja Nigeria,Economy Class,3.0,4.0,1.0,1.0,0.0,1.0,2.0,no
Boeing 777-300,United Kingdom,Solo Leisure,London to Bangkok,Economy Class,2.0,3.0,4.0,4.0,0.0,1.0,3.0,no
Boeing 747-400,United Kingdom,Couple Leisure,Belfast to San Francisco via London,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A319,United Kingdom,Couple Leisure,London to Gothenburg,Economy Class,4.0,4.0,4.0,0.0,0.0,0.0,4.0,yes
Boeing 787 / A320,Sweden,Solo Leisure,Mahe to Stockholm via London ,Business Class,1.0,2.0,1.0,2.0,0.0,4.0,2.0,no
A319 / Boeing777,United Kingdom,Couple Leisure,Glasgow to Tampa via Gatwick,Business Class,4.0,5.0,5.0,3.0,0.0,3.0,4.0,yes
Boeing 777-200,United Kingdom,Family Leisure,Orlando to Gatwick,Economy Class,2.0,3.0,3.0,1.0,0.0,4.0,1.0,no
Boeing 787,United Arab Emirates,Family Leisure,London to Abu Dhabi,Economy Class,3.0,4.0,4.0,5.0,0.0,5.0,4.0,yes
A320,United Kingdom,Couple Leisure,London to St Petersburgh,Business Class,1.0,3.0,5.0,1.0,0.0,0.0,1.0,no
Boeing 777,Australia,Business,Sydney to London via Singapore,Premium Economy,4.0,2.0,4.0,1.0,3.0,2.0,3.0,no
A380,United States,Couple Leisure,London to Johannesburg,Business Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777-200,China,Family Leisure,London to Shanghai,First Class,5.0,5.0,5.0,4.0,3.0,3.0,5.0,yes
Boeing 747,United States,Family Leisure,Boston to Copenhagen via London,Premium Economy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 777-200,United Kingdom,Business,London Gatwick to San Jose Costa Rica,Business Class,1.0,3.0,5.0,4.0,1.0,1.0,1.0,no
Boeing 777,United Kingdom,Solo Leisure,London to Dubai,Economy Class,3.0,4.0,1.0,3.0,0.0,3.0,3.0,no
"A340-300, A320",Canada,Family Leisure,Toronto to Pisa London Heathrow,Business Class,4.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A320,United Kingdom,Family Leisure,London Heathrow to Venice Marco Polo,Economy Class,4.0,5.0,4.0,0.0,4.0,0.0,4.0,yes
A321neo,United Kingdom,Family Leisure,London to Larnaca,Economy Class,1.0,3.0,2.0,0.0,0.0,0.0,1.0,no
Boeing 777-200,United Kingdom,Family Leisure,Gatwick to Orlando,Economy Class,4.0,5.0,5.0,4.0,0.0,4.0,4.0,yes
A320,Hong Kong,Family Leisure,London to Munich,Economy Class,4.0,4.0,2.0,0.0,0.0,0.0,3.0,yes
A320,Slovakia,Solo Leisure,Vienna to Heathrow,Economy Class,4.0,5.0,5.0,5.0,0.0,3.0,4.0,yes
A321,United Kingdom,Couple Leisure,Malaga to London ,Business Class,1.0,2.0,1.0,2.0,1.0,1.0,1.0,no
A320,United Kingdom,Couple Leisure,Palma to London Heathrow,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A321-200,United Kingdom,Family Leisure,London Heathrow to Sofia,Economy Class,5.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Buenos Aires to London Heathrow,Economy Class,3.0,5.0,4.0,4.0,0.0,2.0,4.0,yes
Boeing 777-300ER,Hong Kong,Family Leisure,Hong Kong to London,Economy Class,4.0,3.0,2.0,3.0,2.0,3.0,3.0,yes
A320,United Kingdom,Solo Leisure,London Heathrow to Malaga,Business Class,2.0,1.0,3.0,1.0,0.0,0.0,1.0,no
B777-200,United Kingdom,Business,London to Delhi,Economy Class,1.0,1.0,3.0,3.0,0.0,2.0,2.0,no
Boeing 747-400,United Kingdom,Family Leisure,London Heathrow to Austin,Economy Class,1.0,3.0,3.0,1.0,1.0,1.0,2.0,no
A320,United States,Business,Mykonos to London,Business Class,2.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 737-800,Thailand,Family Leisure,Johannesburg OR Tambo to Cape Town,Economy Class,4.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 777-200,United Kingdom,Family Leisure,Grenada to Gatwick,Economy Class,1.0,4.0,4.0,3.0,0.0,5.0,3.0,yes
Boeing 777,United Arab Emirates,Solo Leisure,London to Dubai,Premium Economy,5.0,5.0,5.0,3.0,5.0,5.0,5.0,yes
A321,New Zealand,Solo Leisure,Heathrow to Manchester,Business Class,2.0,3.0,1.0,0.0,0.0,0.0,1.0,no
A320,Belgium,Solo Leisure,Brussels to Larnaca via London,Business Class,3.0,4.0,4.0,4.0,0.0,0.0,4.0,yes
A320,Australia,Couple Leisure,Stockholm to London,Business Class,2.0,1.0,3.0,1.0,0.0,0.0,1.0,no
Boeing 737,United Kingdom,Family Leisure,Orlando to London,Premium Economy,3.0,4.0,3.0,1.0,1.0,3.0,3.0,yes
A320,Australia,Couple Leisure,Lisbon to London,Business Class,1.0,1.0,2.0,1.0,0.0,0.0,1.0,no
A320,United Kingdom,Solo Leisure,Heathrow to Marseille,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A320,Canada,Business,Madrid to London,Business Class,3.0,1.0,1.0,0.0,0.0,0.0,1.0,no
A320 neo,United Kingdom,Business,Dublin to London,Economy Class,4.0,4.0,4.0,0.0,0.0,0.0,4.0,yes
B777-200,United Kingdom,Couple Leisure,Barbados to Gatwick,Economy Class,3.0,1.0,3.0,1.0,0.0,4.0,3.0,no
A380,United Kingdom,Solo Leisure,London Heathrow to Singapore,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A321,Spain,Business,Madrid to London Heathrow,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A319 / Boeing 789,Germany,Business,Hamburg to Abu Dhabi via London Heathrow,Economy Class,1.0,2.0,1.0,2.0,1.0,2.0,3.0,no
Boeing 777-200 and A319,United States,Solo Leisure,New York to Glasgow via London,Economy Class,3.0,3.0,3.0,3.0,0.0,4.0,4.0,yes
Boeing 777-200,United Kingdom,Family Leisure,Gatwick to Bermuda,Business Class,4.0,5.0,3.0,5.0,2.0,5.0,5.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Larnaca,Business Class,4.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A320-200,United Kingdom,Couple Leisure,Gatwick to Cagliari,Economy Class,3.0,2.0,4.0,1.0,0.0,0.0,1.0,yes
A320,United Kingdom,Couple Leisure,Heathrow to Kalamata,Economy Class,5.0,4.0,3.0,3.0,0.0,0.0,3.0,yes
A320,Australia,Solo Leisure,Amsterdam to London,Economy Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
A321 Neo,United Kingdom,Business,Istanbul to London,Economy Class,1.0,4.0,4.0,2.0,0.0,0.0,3.0,yes
A321 / Boeing 787-9,United Kingdom,Family Leisure,Manchester to Kuala Lumpur via London ,Economy Class,2.0,2.0,3.0,2.0,3.0,4.0,3.0,no
