aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
A320,United Kingdom,Business,London Heathrow to Munich,Economy Class,3.0,3.0,3.0,1.0,0.0,1.0,3.0,no
A320,United Kingdom,Couple Leisure,Belfast to Gibraltar via Heathrow,Economy Class,2.0,3.0,3.0,1.0,0.0,0.0,3.0,no
Boeing 747,Australia,Business,London to New York,Economy Class,4.0,2.0,3.0,2.0,0.0,5.0,3.0,no
Boeing 777,United Kingdom,Family Leisure,Gatwick to Grenada,Business Class,5.0,5.0,5.0,4.0,0.0,4.0,1.0,no
A320-200,Portugal,Business,Lisbon to London,Economy Class,4.0,3.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 747,Australia,Business,Miami to London,Economy Class,1.0,3.0,1.0,1.0,0.0,1.0,1.0,no
A380,United Kingdom,Business,London to Los Angeles,Economy Class,3.0,1.0,3.0,1.0,0.0,3.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Mauritius to Gatwick,Business Class,4.0,1.0,5.0,3.0,0.0,4.0,2.0,no
A380,United Kingdom,Couple Leisure,London Heathrow to Hong Kong,Premium Economy,4.0,4.0,3.0,1.0,0.0,2.0,2.0,no
Boeing 777,United Kingdom,Couple Leisure,London to Nairobi,Premium Economy,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
A319,United Kingdom,Business,London Heathrow to Edinburgh,Economy Class,2.0,5.0,2.0,0.0,0.0,0.0,1.0,no
Boeing 777,Canada,Couple Leisure,Toronto to Berlin via London,Business Class,1.0,4.0,3.0,2.0,0.0,2.0,1.0,no
Boeing 787-9,United Kingdom,Couple Leisure,London Heathrow to Dubai,Economy Class,4.0,1.0,4.0,1.0,4.0,3.0,1.0,no
Boeing 747-400,United Kingdom,Solo Leisure,London Heathrow to Johannesburg,Economy Class,1.0,3.0,3.0,3.0,0.0,3.0,2.0,no
A320,United Kingdom,Solo Leisure,London Heathrow to Innsbruck,Business Class,1.0,4.0,2.0,3.0,0.0,0.0,3.0,yes
A320,United Kingdom,Business,London Heathrow to Dublin,Business Class,1.0,3.0,3.0,3.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,London to Barbados,Economy Class,3.0,3.0,3.0,1.0,0.0,2.0,2.0,no
Boeing 777,United Kingdom,Solo Leisure,London Heathrow to Bangkok,Economy Class,3.0,2.0,4.0,4.0,1.0,1.0,3.0,no
Boeing 777-300,United Kingdom,Solo Leisure,Beijing to London,Economy Class,4.0,3.0,4.0,2.0,0.0,2.0,3.0,no
A319,United Kingdom,Couple Leisure,LHR to GVA,Business Class,2.0,4.0,2.0,4.0,0.0,0.0,2.0,no
Boeing 747-400 / 777-200,Sweden,Family Leisure,GOT to SFO/PHX via LHR,Economy Class,4.0,3.0,3.0,1.0,0.0,1.0,2.0,no
Boeing 777,United Kingdom,Couple Leisure,Gatwick to Mauritius,Business Class,3.0,4.0,1.0,3.0,0.0,3.0,3.0,no
Boeing 747-400,United Kingdom,Couple Leisure,San Diego to London,Business Class,4.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 777,Netherlands,Business,Amsterdam to St Lucia via Gatwick,Business Class,2.0,3.0,5.0,2.0,0.0,2.0,1.0,no
A321,France,Solo Leisure,London to Toulouse,Economy Class,2.0,1.0,2.0,1.0,0.0,0.0,1.0,no
A320 / Boeing 777-200,United Kingdom,Business,Edinburgh to Luanda via Heathrow,Economy Class,3.0,2.0,2.0,1.0,1.0,2.0,1.0,no
Boeing 777-200,United Kingdom,Couple Leisure,Gatwick to Bridgetown,Economy Class,1.0,1.0,2.0,1.0,0.0,2.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,Cape Town to London,Economy Class,4.0,4.0,5.0,4.0,0.0,4.0,4.0,yes
Boeing 777,United Kingdom,Business,Orlando to London,Business Class,2.0,2.0,1.0,3.0,0.0,3.0,1.0,no
Boeing 787-9,United Kingdom,Business,Newark to London ,Business Class,2.0,3.0,4.0,1.0,0.0,3.0,2.0,no
Boeing 747,United Kingdom,Couple Leisure,London to Chicago,Economy Class,2.0,3.0,2.0,1.0,0.0,2.0,1.0,no
Boeing 747-400,United Kingdom,Solo Leisure,LHR to YVR,Premium Economy,3.0,3.0,3.0,2.0,0.0,2.0,2.0,no
A320,United Kingdom,Couple Leisure,London Heathrow to Gibraltar,Economy Class,3.0,2.0,2.0,1.0,0.0,0.0,3.0,no
A380/A320,Singapore,Solo Leisure,Singapore to Venice via London,Economy Class,3.0,3.0,3.0,2.0,0.0,2.0,3.0,no
A320,United Kingdom,Family Leisure,London to Marrakech,Economy Class,3.0,1.0,3.0,1.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,Cape Town to London,Economy Class,1.0,3.0,4.0,1.0,0.0,4.0,3.0,no
Boeing 747-400 & A320/321,Kuwait,Solo Leisure,Kuwait to Edinburgh via London,Premium Economy,5.0,3.0,5.0,2.0,0.0,5.0,3.0,no
A321,United Kingdom,Couple Leisure,London Heathrow to Pisa,Business Class,1.0,4.0,1.0,2.0,0.0,0.0,1.0,no
Boeing 777-200,United Kingdom,Couple Leisure,St Lucia to Gatwick,Business Class,5.0,5.0,3.0,3.0,0.0,4.0,3.0,yes
Boeing 747-400,Canada,Couple Leisure,Cape Town to London,Business Class,5.0,5.0,5.0,5.0,0.0,4.0,4.0,yes
Boeing 767,Cyprus,Business,London to Larnaca,Economy Class,1.0,2.0,2.0,3.0,1.0,2.0,1.0,no
Boeing 747-400,United Kingdom,Business,Chicago to London,Premium Economy,5.0,5.0,4.0,3.0,0.0,5.0,4.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,Phoenix to London Heathrow,Economy Class,1.0,2.0,2.0,1.0,1.0,1.0,1.0,no
Boeing 747-400,United Kingdom,Business,London to Chicago O'Hare,Business Class,5.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 777,United Kingdom,Business,London to Mumbai,Premium Economy,2.0,2.0,2.0,2.0,0.0,1.0,3.0,no
A380,Australia,Business,HKG to LHR,Business Class,3.0,3.0,4.0,4.0,0.0,4.0,3.0,yes
Boeing 777,United Kingdom,Couple Leisure,San Jose to London Gatwick,Business Class,4.0,3.0,1.0,1.0,1.0,1.0,1.0,no
A380,United Kingdom,Solo Leisure,London to Miami,Economy Class,4.0,4.0,5.0,1.0,0.0,5.0,5.0,yes
